student_id,week,assignment_submitted,submission_delay_days,short_text_submission
S2016,7,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2016,8,yes,0.0,I completed the assignment based on the course materials..
S2016,9,yes,1.0,I applied what we learned to a real-world situation in my analysis..
S2016,10,yes,0.0,I followed the instructions and addressed all the requirements..
S2016,11,yes,1.0,I think I understand the main concepts from this exercise..
S2016,12,yes,0.0,This connects well with what we studied in previous weeks..
S2016,13,yes,0.0,I found this topic interesting and learned a lot from the research..
S2016,14,yes,0.0,I tried to apply the methods we discussed in class..
S2016,15,yes,0.0,I tried to apply the methods we discussed in class..
S2016,16,yes,1.0,The examples in class really helped me understand the concepts better..
S2017,1,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2017,2,yes,0.0,I found this topic interesting and learned a lot from the research..
S2017,3,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2017,4,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2017,5,yes,0.0,The examples in class really helped me understand the concepts better..
S2017,6,yes,2.0,I completed the assignment based on the course materials..
S2017,7,yes,0.0,This connects well with what we studied in previous weeks..
S2017,8,yes,0.0,The examples in class really helped me understand the concepts better..
S2017,9,yes,0.0,I found this topic interesting and learned a lot from the research..
S2017,10,yes,2.0,I found this topic interesting and learned a lot from the research..
S2017,11,yes,2.0,I applied what we learned to a real-world situation in my analysis..
S2017,12,yes,0.0,I found this topic interesting and learned a lot from the research..
S2017,13,yes,0.0,I found this topic interesting and learned a lot from the research..
S2017,14,yes,0.0,I found this topic interesting and learned a lot from the research..
S2017,15,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2017,16,no,,
S2018,1,yes,0.0,The examples in class really helped me understand the concepts better..
S2018,2,yes,0.0,The examples in class really helped me understand the concepts better..
S2018,3,yes,1.0,I applied what we learned to a real-world situation in my analysis..
S2018,4,yes,0.0,I tried to apply the methods we discussed in class..
S2018,5,yes,0.0,The examples in class really helped me understand the concepts better..
S2018,6,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2018,7,yes,1.0,I enjoyed exploring the different perspectives on this topic..
S2018,8,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2018,9,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2018,10,yes,0.0,This connects well with what we studied in previous weeks..
S2018,11,yes,0.0,This connects well with what we studied in previous weeks..
S2018,12,yes,0.0,I found this topic interesting and learned a lot from the research..
S2018,13,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2018,14,yes,0.0,I found this topic interesting and learned a lot from the research..
S2018,15,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2018,16,yes,0.0,The examples in class really helped me understand the concepts better..
S2019,1,yes,2.0,I reviewed the readings and completed the analysis..
S2019,2,no,,
S2019,3,yes,1.0,I think I understand the main concepts from this exercise..
S2019,4,yes,1.0,I think I understand the main concepts from this exercise..
S2019,5,yes,2.0,I tried to apply the methods we discussed in class..
S2019,6,yes,1.0,I tried to apply the methods we discussed in class..
S2019,7,yes,2.0,I completed the assignment based on the course materials..
S2019,8,yes,2.0,I think I understand the main concepts from this exercise..
S2019,9,yes,1.0,I completed the assignment based on the course materials..
S2019,10,yes,2.0,I tried to apply the methods we discussed in class..
S2019,11,yes,3.0,I think I understand the main concepts from this exercise..
S2019,12,yes,2.0,I think I understand the main concepts from this exercise..
S2019,13,yes,1.0,I completed the assignment based on the course materials..
S2019,14,yes,2.0,I completed the assignment based on the course materials..
S2019,15,yes,2.0,I followed the guidelines..
S2019,16,yes,1.0,I think I understand the main concepts from this exercise..
S2020,1,yes,2.0,I applied what we learned to a real-world situation in my analysis..
S2020,2,yes,2.0,I found this topic interesting and learned a lot from the research..
S2020,3,yes,1.0,This connects well with what we studied in previous weeks..
S2020,4,no,,
S2020,5,yes,4.0,I followed the instructions and addressed all the requirements..
S2020,6,yes,2.0,I tried to apply the methods we discussed in class..
S2020,7,yes,0.0,I tried to apply the methods we discussed in class..
S2020,8,yes,1.0,I reviewed the readings and completed the analysis..
S2020,9,no,,
S2020,10,no,,
S2020,11,yes,0.0,I followed the guidelines..
S2020,12,no,,
S2020,13,no,,
S2020,14,no,,
S2020,15,no,,
S2020,16,no,,
S2021,1,yes,2.0,I found this topic interesting and learned a lot from the research..
S2021,2,yes,1.0,I enjoyed exploring the different perspectives on this topic..
S2021,3,yes,0.0,I applied what we learned to a real-world situation in my analysis. I found the connections to previous material particularly helpful..
S2021,4,yes,0.0,I found this topic interesting and learned a lot from the research..
S2021,5,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2021,6,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2021,7,yes,2.0,I enjoyed exploring the different perspectives on this topic..
S2021,8,yes,0.0,I reviewed the readings and completed the analysis..
S2021,9,yes,2.0,I think I understand the main concepts from this exercise..
S2021,10,yes,0.0,I found this topic interesting and learned a lot from the research..
S2021,11,yes,0.0,I found this topic interesting and learned a lot from the research..
S2021,12,yes,0.0,I found this topic interesting and learned a lot from the research..
S2021,13,yes,0.0,I found this topic interesting and learned a lot from the research..
S2021,14,no,,
S2021,15,yes,0.0,This connects well with what we studied in previous weeks..
S2021,16,yes,0.0,I applied what we learned to a real-world situation in my analysis. I found the connections to previous material particularly helpful..
S2022,1,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2022,2,yes,0.0,I found this topic interesting and learned a lot from the research..
S2022,3,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2022,4,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2022,5,yes,0.0,The examples in class really helped me understand the concepts better..
S2022,6,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2022,7,yes,1.0,I found this topic interesting and learned a lot from the research..
S2022,8,yes,2.0,I applied what we learned to a real-world situation in my analysis..
S2022,9,yes,0.0,I think I understand the main concepts from this exercise..
S2022,10,yes,2.0,The examples in class really helped me understand the concepts better..
S2022,11,yes,0.0,I found this topic interesting and learned a lot from the research..
S2022,12,yes,1.0,I found this topic interesting and learned a lot from the research..
S2022,13,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2022,14,yes,2.0,The examples in class really helped me understand the concepts better..
S2022,15,no,,
S2022,16,yes,3.0,The examples in class really helped me understand the concepts better..
S2023,1,yes,1.0,The examples in class really helped me understand the concepts better..
S2023,2,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2023,3,yes,0.0,The examples in class really helped me understand the concepts better..
S2023,4,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2023,5,yes,0.0,This connects well with what we studied in previous weeks..
S2023,6,yes,0.0,I completed the assignment based on the course materials..
S2023,7,yes,0.0,I found this topic interesting and learned a lot from the research..
S2023,8,yes,0.0,This connects well with what we studied in previous weeks..
S2023,9,yes,1.0,This connects well with what we studied in previous weeks..
S2023,10,yes,0.0,The examples in class really helped me understand the concepts better..
S2023,11,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2023,12,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2023,13,no,,
S2023,14,yes,1.0,I applied what we learned to a real-world situation in my analysis..
S2023,15,yes,2.0,This connects well with what we studied in previous weeks..
S2023,16,yes,1.0,I followed the instructions and addressed all the requirements..
S2024,1,yes,0.0,I followed the instructions and addressed all the requirements..
S2024,2,yes,1.0,I tried to apply the methods we discussed in class..
S2024,3,yes,0.0,I completed the assignment based on the course materials..
S2024,4,yes,0.0,I tried to apply the methods we discussed in class. I found the connections to previous material particularly helpful..
S2024,5,yes,2.0,I applied what we learned to a real-world situation in my analysis..
S2024,6,yes,1.0,I think I understand the main concepts from this exercise..
S2024,7,yes,0.0,The examples in class really helped me understand the concepts better..
S2024,8,yes,0.0,I think I understand the main concepts from this exercise. I found the connections to previous material particularly helpful..
S2024,9,yes,2.0,I reviewed the readings and completed the analysis..
S2024,10,yes,2.0,This connects well with what we studied in previous weeks..
S2024,11,yes,0.0,I tried to apply the methods we discussed in class. I found the connections to previous material particularly helpful..
S2024,12,yes,0.0,I completed the assignment based on the course materials..
S2024,13,yes,0.0,I found this topic interesting and learned a lot from the research..
S2024,14,yes,2.0,I think I understand the main concepts from this exercise..
S2024,15,yes,2.0,I followed the instructions and addressed all the requirements..
S2024,16,yes,0.0,I tried to apply the methods we discussed in class. I found the connections to previous material particularly helpful..
S2025,1,yes,1.0,I applied what we learned to a real-world situation in my analysis..
S2025,2,yes,0.0,I found this topic interesting and learned a lot from the research..
S2025,3,yes,0.0,I found this topic interesting and learned a lot from the research..
S2025,4,no,,
S2025,5,yes,0.0,I completed the assignment based on the course materials..
S2025,6,yes,3.0,I completed the assignment based on the course materials..
S2025,7,no,,
S2025,8,no,,
S2025,9,no,,
S2025,10,yes,6.0,I reviewed the readings and completed the analysis..
S2025,11,no,,
S2025,12,no,,
S2025,13,yes,2.0,I submitted the work..
S2025,14,no,,
S2025,15,yes,0.0,I completed what was asked for..
S2025,16,no,,
S2026,1,yes,2.0,I followed the instructions and addressed all the requirements..
S2026,2,no,,
S2026,3,yes,1.0,I completed the assignment based on the course materials..
S2026,4,yes,1.0,I applied what we learned to a real-world situation in my analysis. I found the connections to previous material particularly helpful..
S2026,5,no,,
S2026,6,yes,0.0,I reviewed the readings and completed the analysis..
S2026,7,yes,1.0,I think I understand the main concepts from this exercise..
S2026,8,no,,
S2026,9,yes,1.0,I tried to apply the methods we discussed in class..
S2026,10,yes,1.0,I completed the assignment based on the course materials. I found the connections to previous material particularly helpful..
S2026,11,yes,1.0,I enjoyed exploring the different perspectives on this topic. I found the connections to previous material particularly helpful..
S2026,12,yes,1.0,I completed the assignment based on the course materials..
S2026,13,yes,1.0,This connects well with what we studied in previous weeks..
S2026,14,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2026,15,yes,0.0,This connects well with what we studied in previous weeks..
S2026,16,yes,0.0,I completed the assignment based on the course materials. I found the connections to previous material particularly helpful..
S2027,1,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2027,2,yes,0.0,The examples in class really helped me understand the concepts better..
S2027,3,yes,0.0,I found this topic interesting and learned a lot from the research..
S2027,4,yes,0.0,I found this topic interesting and learned a lot from the research..
S2027,5,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2027,6,yes,1.0,I enjoyed exploring the different perspectives on this topic..
S2027,7,yes,0.0,This connects well with what we studied in previous weeks..
S2027,8,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2027,9,yes,0.0,The examples in class really helped me understand the concepts better..
S2027,10,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2027,11,yes,0.0,I found this topic interesting and learned a lot from the research..
S2027,12,yes,0.0,This connects well with what we studied in previous weeks..
S2027,13,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2027,14,yes,0.0,This connects well with what we studied in previous weeks..
S2027,15,yes,0.0,This connects well with what we studied in previous weeks..
S2027,16,yes,0.0,I found this topic interesting and learned a lot from the research..
S2028,1,yes,1.0,I found this topic interesting and learned a lot from the research..
S2028,2,no,,
S2028,3,yes,1.0,I found this topic interesting and learned a lot from the research..
S2028,4,yes,0.0,This connects well with what we studied in previous weeks..
S2028,5,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2028,6,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2028,7,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2028,8,no,,
S2028,9,yes,1.0,I found this topic interesting and learned a lot from the research..
S2028,10,yes,1.0,I enjoyed exploring the different perspectives on this topic. I found the connections to previous material particularly helpful..
S2028,11,yes,2.0,I enjoyed exploring the different perspectives on this topic..
S2028,12,yes,0.0,This connects well with what we studied in previous weeks..
S2028,13,yes,0.0,I found this topic interesting and learned a lot from the research..
S2028,14,yes,0.0,The examples in class really helped me understand the concepts better..
S2028,15,yes,0.0,The examples in class really helped me understand the concepts better..
S2028,16,yes,0.0,The examples in class really helped me understand the concepts better. I found the connections to previous material particularly helpful..
S2029,1,yes,0.0,I tried to apply the methods we discussed in class..
S2029,2,yes,0.0,I tried to apply the methods we discussed in class..
S2029,3,yes,0.0,I tried to apply the methods we discussed in class..
S2029,4,yes,0.0,I tried to apply the methods we discussed in class..
S2029,5,yes,1.0,I think I understand the main concepts from this exercise..
S2029,6,yes,3.0,I followed the instructions and addressed all the requirements..
S2029,7,yes,0.0,I reviewed the readings and completed the analysis..
S2029,8,no,,
S2029,9,yes,1.0,I completed the assignment based on the course materials..
S2029,10,yes,0.0,I completed the assignment based on the course materials..
S2029,11,yes,0.0,I think I understand the main concepts from this exercise..
S2029,12,yes,1.0,I think I understand the main concepts from this exercise..
S2029,13,yes,0.0,I reviewed the readings and completed the analysis..
S2029,14,yes,0.0,I tried to apply the methods we discussed in class..
S2029,15,yes,1.0,I reviewed the readings and completed the analysis..
