student_id,final_outcome,student_type
S2089,completed,stable
S2090,completed,stable
S2091,completed,stable
S2092,borderline,stable
S2093,completed,stable
S2094,borderline,gradual_disengagement
S2095,borderline,gradual_disengagement
S2096,completed,stable
S2097,completed,volatile_non_failing
S2098,dropped,gradual_disengagement
S2099,dropped,gradual_disengagement
S2100,completed,stable
S2101,borderline,volatile_non_failing
S2102,completed,gradual_disengagement
S2103,dropped,gradual_disengagement
S2104,completed,stable
S2105,borderline,volatile_non_failing
S2106,completed,stable
S2107,completed,stable
S2108,borderline,gradual_disengagement
S2109,completed,stable
S2110,completed,stable
S2111,completed,stable
S2112,borderline,gradual_disengagement
S2113,completed,stable
S2114,completed,stable
S2115,borderline,gradual_disengagement
S2116,borderline,gradual_disengagement
S2117,completed,stable
S2118,completed,stable
S2119,completed,stable
S2120,borderline,gradual_disengagement
S2121,completed,stable
S2122,dropped,gradual_disengagement
S2123,completed,stable
S2124,completed,stable
S2125,completed,volatile_non_failing
S2126,completed,stable
S2127,completed,stable
S2128,completed,stable
S2129,dropped,gradual_disengagement
S2130,completed,stable
S2131,completed,stable
S2132,completed,stable
S2133,completed,volatile_non_failing
S2134,completed,stable
S2135,completed,stable
S2136,completed,stable
S2137,completed,stable
S2138,dropped,gradual_disengagement
S2139,completed,stable
S2140,completed,stable
S2141,completed,stable
S2142,borderline,stable
S2143,completed,stable
S2144,completed,stable
S2145,borderline,gradual_disengagement
S2146,completed,stable
S2147,borderline,gradual_disengagement
S2148,completed,stable
S2149,completed,stable
S2150,dropped,gradual_disengagement
S2151,dropped,gradual_disengagement
S2152,completed,stable
S2153,borderline,stable
S2154,completed,stable
S2155,completed,stable
S2156,borderline,gradual_disengagement
S2157,completed,stable
S2158,completed,volatile_non_failing
S2159,completed,stable
S2160,dropped,gradual_disengagement
S2161,completed,stable
S2162,dropped,gradual_disengagement
S2163,completed,volatile_non_failing
S2164,completed,stable
S2165,completed,stable
S2166,completed,stable
S2167,borderline,gradual_disengagement
S2168,completed,stable
S2169,completed,stable
S2170,completed,stable
S2171,borderline,gradual_disengagement
S2172,completed,stable
S2173,dropped,gradual_disengagement
S2174,dropped,gradual_disengagement
S2175,completed,stable
S2176,completed,stable
S2177,completed,stable
S2178,completed,stable
S2179,completed,stable
S2180,dropped,gradual_disengagement
S2181,completed,volatile_non_failing
S2182,completed,stable
S2183,completed,volatile_non_failing
S2184,completed,stable
S2185,borderline,gradual_disengagement
S2186,completed,stable
S2187,completed,gradual_disengagement
S2188,completed,stable
S2189,dropped,gradual_disengagement
S2190,completed,stable
S2191,borderline,gradual_disengagement
S2192,completed,stable
S2193,completed,stable
S2194,completed,stable
S2195,completed,gradual_disengagement
S2196,completed,stable
S2197,completed,stable
S2198,completed,volatile_non_failing
S2199,completed,stable
S2200,completed,stable
S2201,borderline,stable
S2202,completed,stable
S2203,borderline,gradual_disengagement
S2204,completed,stable
S2205,completed,stable
S2206,completed,stable
S2207,completed,stable
S2208,borderline,stable
S2209,borderline,gradual_disengagement
S2210,completed,stable
S2211,borderline,gradual_disengagement
S2212,completed,stable
S2213,dropped,gradual_disengagement
S2214,completed,stable
S2215,borderline,volatile_non_failing
S2216,completed,volatile_non_failing
S2217,completed,stable
S2218,completed,stable
S2219,dropped,gradual_disengagement
S2220,completed,stable
S2221,completed,stable
S2222,completed,stable
S2223,borderline,gradual_disengagement
S2224,completed,stable
S2225,completed,stable
S2226,completed,stable
S2227,completed,stable
S2228,completed,stable
S2229,completed,volatile_non_failing
S2230,dropped,gradual_disengagement
S2231,borderline,gradual_disengagement
S2232,completed,stable
S2233,completed,stable
S2234,completed,stable
S2235,completed,stable
S2236,completed,volatile_non_failing
S2237,completed,stable
S2238,dropped,gradual_disengagement
S2239,completed,stable
S2240,completed,stable
S2241,completed,stable
S2242,dropped,gradual_disengagement
S2243,completed,stable
S2244,completed,stable
S2245,dropped,gradual_disengagement
S2246,completed,stable
S2247,completed,stable
S2248,completed,stable
S2249,dropped,gradual_disengagement
S2250,completed,stable
S2251,completed,stable
S2252,completed,stable
S2253,completed,stable
S2254,completed,stable
S2255,completed,stable
S2256,borderline,volatile_non_failing
S2257,completed,stable
S2258,completed,stable
S2259,completed,gradual_disengagement
S2260,completed,stable
S2261,completed,volatile_non_failing
S2262,completed,stable
S2263,completed,stable
S2264,completed,stable
S2265,completed,stable
S2266,completed,stable
S2267,completed,stable
S2268,completed,stable
S2269,borderline,gradual_disengagement
S2270,completed,stable
S2271,completed,stable
S2272,borderline,gradual_disengagement
S2273,completed,stable
S2274,completed,stable
S2275,borderline,volatile_non_failing
S2276,completed,stable
S2277,completed,stable
S2278,borderline,stable
S2279,borderline,volatile_non_failing
S2280,dropped,gradual_disengagement
S2281,completed,stable
S2282,completed,stable
S2283,completed,stable
S2284,dropped,gradual_disengagement
S2285,completed,stable
S2286,completed,stable
S2287,dropped,gradual_disengagement
S2288,completed,stable
S2289,completed,gradual_disengagement
S2290,completed,stable
S2291,completed,stable
S2292,completed,stable
S2293,completed,volatile_non_failing
S2294,completed,stable
S2295,borderline,gradual_disengagement
S2296,completed,stable
S2297,completed,stable
S2298,completed,stable
S2299,completed,stable
S2300,completed,stable
S2301,borderline,gradual_disengagement
S2302,dropped,gradual_disengagement
S2303,completed,stable
S2304,completed,stable
S2305,borderline,volatile_non_failing
S2306,dropped,gradual_disengagement
S2307,borderline,stable
S2308,dropped,gradual_disengagement
S2309,completed,stable
S2310,completed,stable
S2311,borderline,gradual_disengagement
S2312,completed,stable
S2313,borderline,stable
S2314,completed,stable
S2315,dropped,gradual_disengagement
S2316,borderline,gradual_disengagement
S2317,completed,stable
S2318,completed,stable
S2319,completed,stable
S2320,borderline,volatile_non_failing
S2321,dropped,gradual_disengagement
S2322,dropped,gradual_disengagement
S2323,completed,stable
S2324,borderline,volatile_non_failing
S2325,borderline,volatile_non_failing
S2326,borderline,stable
S2327,completed,stable
S2328,dropped,gradual_disengagement
S2329,dropped,gradual_disengagement
S2330,dropped,gradual_disengagement
S2331,completed,stable
S2332,completed,stable
S2333,borderline,gradual_disengagement
S2334,dropped,gradual_disengagement
S2335,completed,stable
S2336,completed,stable
S2337,completed,stable
S2338,completed,stable
S2339,completed,stable
S2340,completed,stable
S2341,completed,stable
S2342,completed,gradual_disengagement
S2343,completed,stable
S2344,completed,volatile_non_failing
S2345,dropped,gradual_disengagement
S2346,completed,stable
S2347,completed,stable
S2348,completed,stable
S2349,completed,stable
S2350,completed,stable
S2351,dropped,gradual_disengagement
S2352,completed,stable
S2353,completed,stable
S2354,completed,stable
S2355,completed,stable
S2356,completed,stable
S2357,completed,stable
S2358,completed,stable
S2359,completed,stable
S2360,completed,volatile_non_failing
S2361,dropped,gradual_disengagement
S2362,borderline,gradual_disengagement
S2363,completed,stable
S2364,completed,stable
S2365,completed,stable
S2366,completed,volatile_non_failing
S2367,completed,volatile_non_failing
S2368,completed,stable
S2369,completed,stable
S2370,borderline,gradual_disengagement
S2371,completed,gradual_disengagement
S2372,completed,volatile_non_failing
S2373,completed,volatile_non_failing
S2374,completed,stable
S2375,borderline,gradual_disengagement
S2376,completed,stable
S2377,completed,stable
S2378,completed,stable
S2379,completed,gradual_disengagement
S2380,borderline,stable
S2381,completed,stable
S2382,borderline,gradual_disengagement
S2383,completed,stable
S2384,completed,stable
S2385,completed,stable
S2386,completed,stable
S2387,borderline,gradual_disengagement
S2388,completed,stable
S2389,completed,stable
S2390,completed,stable
S2391,dropped,gradual_disengagement
S2392,completed,stable
S2393,completed,stable
S2394,completed,stable
S2395,borderline,gradual_disengagement
S2396,completed,stable
S2397,completed,stable
S2398,completed,stable
S2399,completed,stable
S2400,borderline,stable
S2401,borderline,stable
S2402,dropped,gradual_disengagement
S2403,borderline,gradual_disengagement
S2404,completed,stable
S2405,completed,stable
S2406,completed,stable
S2407,completed,volatile_non_failing
S2408,dropped,gradual_disengagement
S2409,dropped,gradual_disengagement
S2410,dropped,gradual_disengagement
S2411,completed,stable
S2412,completed,stable
S2413,completed,stable
S2414,borderline,volatile_non_failing
S2415,dropped,gradual_disengagement
S2416,completed,volatile_non_failing
S2417,completed,stable
S2418,completed,stable
S2419,completed,stable
S2420,completed,stable
S2421,completed,stable
S2422,completed,volatile_non_failing
S2423,completed,stable
S2424,completed,stable
S2425,completed,stable
S2426,dropped,gradual_disengagement
S2427,completed,stable
S2428,borderline,volatile_non_failing
S2429,completed,stable
S2430,completed,volatile_non_failing
S2431,completed,stable
S2432,borderline,gradual_disengagement
S2433,dropped,gradual_disengagement
S2434,completed,stable
S2435,completed,stable
S2436,borderline,stable
S2437,borderline,gradual_disengagement
S2438,completed,stable
S2439,completed,volatile_non_failing
S2440,completed,volatile_non_failing
S2441,completed,stable
S2442,completed,volatile_non_failing
S2443,completed,stable
S2444,borderline,gradual_disengagement
S2445,completed,stable
S2446,completed,stable
S2447,completed,stable
S2448,completed,volatile_non_failing
S2449,dropped,gradual_disengagement
S2450,borderline,gradual_disengagement
S2451,completed,stable
S2452,borderline,gradual_disengagement
S2453,completed,stable
S2454,borderline,stable
S2455,dropped,gradual_disengagement
S2456,completed,stable
S2457,completed,stable
S2458,dropped,gradual_disengagement
S2459,completed,stable
S2460,borderline,gradual_disengagement
S2461,completed,stable
S2462,completed,gradual_disengagement
S2463,borderline,gradual_disengagement
S2464,completed,stable
S2465,completed,stable
S2466,completed,stable
S2467,completed,stable
S2468,completed,stable
S2469,completed,stable
S2470,completed,stable
S2471,completed,volatile_non_failing
S2472,completed,stable
S2473,completed,volatile_non_failing
S2474,completed,stable
S2475,borderline,gradual_disengagement
S2476,completed,stable
S2477,completed,stable
S2478,dropped,gradual_disengagement
S2479,completed,stable
S2480,completed,stable
S2481,completed,volatile_non_failing
S2482,completed,stable
S2483,borderline,gradual_disengagement
S2484,completed,stable
S2485,borderline,gradual_disengagement
S2486,completed,stable
S2487,completed,stable
S2488,completed,stable
S2489,completed,stable
S2490,dropped,gradual_disengagement
S2491,completed,stable
S2492,completed,stable
S2493,completed,stable
S2494,completed,stable
S2495,completed,stable
S2496,completed,stable
S2497,completed,stable
S2498,completed,stable
S2499,completed,stable
S2500,completed,stable
S2501,completed,stable
S2502,dropped,gradual_disengagement
S2503,completed,stable
S2504,borderline,gradual_disengagement
S2505,completed,stable
S2506,dropped,gradual_disengagement
S2507,borderline,stable
S2508,completed,stable
S2509,completed,stable
S2510,completed,stable
S2511,completed,volatile_non_failing
S2512,dropped,gradual_disengagement
S2513,completed,stable
S2514,completed,gradual_disengagement
S2515,borderline,gradual_disengagement
S2516,completed,stable
S2517,completed,stable
S2518,dropped,gradual_disengagement
S2519,borderline,volatile_non_failing
S2520,completed,gradual_disengagement
S2521,completed,stable
S2522,dropped,gradual_disengagement
S2523,completed,stable
S2524,completed,stable
S2525,completed,stable
S2526,completed,stable
S2527,completed,stable
S2528,dropped,gradual_disengagement
S2529,completed,stable
S2530,completed,stable
S2531,completed,stable
S2532,completed,stable
S2533,completed,volatile_non_failing
S2534,completed,stable
S2535,completed,stable
S2536,dropped,gradual_disengagement
S2537,borderline,gradual_disengagement
S2538,dropped,gradual_disengagement
S2539,completed,volatile_non_failing
S2540,completed,stable
S2541,dropped,gradual_disengagement
S2542,completed,stable
S2543,completed,stable
S2544,dropped,gradual_disengagement
S2545,completed,volatile_non_failing
S2546,completed,stable
S2547,completed,stable
S2548,completed,stable
S2549,dropped,gradual_disengagement
S2550,completed,stable
S2551,borderline,volatile_non_failing
S2552,completed,stable
S2553,borderline,stable
S2554,completed,stable
S2555,completed,stable
S2556,completed,stable
S2557,completed,stable
S2558,completed,stable
S2559,completed,stable
S2560,completed,stable
S2561,completed,stable
S2562,completed,stable
S2563,borderline,gradual_disengagement
S2564,dropped,gradual_disengagement
S2565,completed,stable
S2566,completed,stable
S2567,dropped,gradual_disengagement
S2568,borderline,gradual_disengagement
S2569,dropped,gradual_disengagement
S2570,completed,stable
S2571,completed,stable
S2572,dropped,gradual_disengagement
S2573,completed,stable
S2574,completed,stable
S2575,completed,stable
S2576,completed,stable
S2577,completed,stable
S2578,completed,stable
S2579,completed,stable
S2580,completed,stable
S2581,completed,stable
S2582,completed,stable
S2583,dropped,gradual_disengagement
S2584,completed,volatile_non_failing
S2585,completed,stable
S2586,completed,stable
S2587,completed,stable
S2588,dropped,gradual_disengagement
S2589,completed,stable
S2590,completed,stable
S2591,dropped,gradual_disengagement
S2592,dropped,gradual_disengagement
S2593,completed,stable
S2594,dropped,gradual_disengagement
S2595,dropped,gradual_disengagement
S2596,completed,stable
S2597,borderline,gradual_disengagement
S2598,completed,stable
S2599,completed,stable
S2600,completed,stable
S2601,completed,stable
S2602,completed,stable
S2603,borderline,stable
S2604,completed,stable
S2605,completed,volatile_non_failing
S2606,completed,stable
S2607,borderline,stable
S2608,completed,stable
S2609,dropped,gradual_disengagement
S2610,borderline,gradual_disengagement
S2611,dropped,gradual_disengagement
S2612,completed,gradual_disengagement
S2613,borderline,gradual_disengagement
S2614,completed,stable
S2615,completed,stable
S2616,completed,stable
S2617,completed,stable
S2618,completed,stable
S2619,dropped,gradual_disengagement
S2620,completed,stable
S2621,borderline,gradual_disengagement
S2622,completed,stable
S2623,completed,stable
S2624,borderline,gradual_disengagement
S2625,completed,stable
S2626,completed,stable
S2627,completed,volatile_non_failing
S2628,completed,stable
S2629,dropped,gradual_disengagement
S2630,borderline,stable
S2631,completed,gradual_disengagement
S2632,completed,stable
S2633,completed,stable
S2634,completed,volatile_non_failing
S2635,completed,stable
S2636,dropped,gradual_disengagement
S2637,completed,stable
S2638,completed,volatile_non_failing
S2639,completed,stable
S2640,completed,stable
S2641,completed,stable
S2642,completed,stable
S2643,completed,stable
S2644,completed,stable
S2645,completed,volatile_non_failing
S2646,completed,stable
S2647,completed,stable
S2648,dropped,gradual_disengagement
S2649,completed,stable
S2650,completed,stable
S2651,completed,stable
S2652,dropped,gradual_disengagement
S2653,completed,stable
S2654,completed,stable
S2655,dropped,gradual_disengagement
S2656,completed,stable
S2657,completed,volatile_non_failing
S2658,borderline,stable
S2659,completed,volatile_non_failing
S2660,completed,stable
S2661,completed,volatile_non_failing
S2662,completed,stable
S2663,completed,stable
S2664,borderline,stable
S2665,borderline,gradual_disengagement
S2666,completed,stable
S2667,completed,stable
S2668,completed,stable
S2669,completed,stable
S2670,completed,stable
S2671,completed,stable
S2672,completed,stable
S2673,completed,stable
S2674,completed,volatile_non_failing
S2675,dropped,gradual_disengagement
S2676,completed,stable
S2677,borderline,volatile_non_failing
S2678,completed,stable
S2679,completed,stable
S2680,completed,stable
S2681,completed,stable
S2682,borderline,gradual_disengagement
S2683,completed,stable
S2684,completed,stable
S2685,completed,gradual_disengagement
S2686,completed,stable
S2687,completed,stable
S2688,dropped,gradual_disengagement
S2689,dropped,gradual_disengagement
S2690,completed,stable
S2691,dropped,gradual_disengagement
S2692,dropped,gradual_disengagement
S2693,completed,stable
S2694,borderline,gradual_disengagement
S2695,completed,stable
S2696,completed,volatile_non_failing
S2697,completed,stable
S2698,completed,volatile_non_failing
S2699,borderline,volatile_non_failing
S2700,completed,stable
S2701,borderline,gradual_disengagement
S2702,completed,stable
S2703,completed,stable
S2704,completed,stable
S2705,completed,stable
S2706,completed,stable
S2707,dropped,gradual_disengagement
S2708,borderline,gradual_disengagement
S2709,completed,volatile_non_failing
S2710,completed,stable
S2711,dropped,gradual_disengagement
S2712,completed,stable
S2713,completed,stable
S2714,borderline,gradual_disengagement
S2715,completed,stable
S2716,completed,volatile_non_failing
S2717,dropped,gradual_disengagement
S2718,borderline,gradual_disengagement
S2719,dropped,gradual_disengagement
S2720,borderline,gradual_disengagement
S2721,dropped,gradual_disengagement
S2722,borderline,stable
S2723,dropped,gradual_disengagement
S2724,completed,stable
S2725,completed,stable
S2726,completed,stable
S2727,completed,stable
S2728,completed,stable
S2729,completed,stable
S2730,completed,stable
S2731,borderline,gradual_disengagement
S2732,completed,stable
S2733,completed,gradual_disengagement
S2734,completed,stable
S2735,completed,volatile_non_failing
S2736,completed,volatile_non_failing
S2737,completed,volatile_non_failing
S2738,completed,stable
S2739,completed,stable
S2740,dropped,gradual_disengagement
S2741,completed,stable
S2742,borderline,gradual_disengagement
S2743,completed,stable
S2744,dropped,gradual_disengagement
S2745,borderline,stable
S2746,completed,stable
S2747,completed,stable
S2748,completed,stable
S2749,completed,stable
